TrackIndex,TrackName,TrackType,TrackVolume,TrackPan,TrackMute,TrackSolo,ClipFileName,ClipMobID,ClipTimelineStart,ClipTimelineEnd,ClipSourceStart,ClipLength,ClipGain,ClipVolume,ClipPan,ClipEffects,FadeInLength,FadeOutLength,CrossfadeLength,FadeInType,FadeOutType
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_555.wav","308E4C04-4208-06A3-CC78-DAF5EBE2502D",1086.920,1096.600,6.000,9.680,1.000,1.000,0.000,"",45.680,46.880,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_577.wav","308E4C04-4208-06A3-28AC-DAF5EBE2502D",1143.480,1149.360,6.000,5.880,1.000,1.000,0.000,"",46.880,49.880,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_870.wav","488A4C04-4208-06A3-E57C-DAF5EBE2502D",1199.240,1203.600,6.000,4.360,1.000,1.000,0.000,"",49.880,10.800,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_69.wav","308E4C04-4208-06A3-3B81-DAF5EBE2502D",1214.400,1231.640,6.000,17.240,1.000,1.000,0.000,"",10.800,78.840,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_562.wav","488A4C04-4208-06A3-8372-DAF5EBE2502D",1310.480,1315.320,6.000,4.840,1.000,1.000,0.000,"",78.840,16.840,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_858.wav","308E4C04-4208-06A3-259A-DAF5EBE2502D",1332.160,1340.240,6.000,8.080,1.000,1.000,0.000,"",16.840,58.320,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_622.wav","308E4C04-4208-06A3-375C-DAF5EBE2502D",1398.560,1404.200,6.000,5.640,1.000,1.000,0.000,"",58.320,63.680,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_529.wav","308E4C04-4208-06A3-7DE8-DAF5EBE2502D",1467.880,1476.840,6.000,8.960,1.000,1.000,0.000,"",63.680,56.760,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_432.wav","488A4C04-4208-06A3-8111-DAF5EBE2502D",1533.600,1542.440,6.000,8.840,1.000,1.000,0.000,"",56.760,36.160,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_383.wav","308E4C04-4208-06A3-C48F-DAF5EBE2502D",1578.600,1583.160,6.000,4.560,1.000,1.000,0.000,"",36.160,5.920,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_940.wav","308E4C04-4208-06A3-7859-DAF5EBE2502D",1589.080,1600.440,6.000,11.360,1.000,1.000,0.000,"",5.920,89.920,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_614.wav","308E4C04-4208-06A3-AED9-DAF5EBE2502D",1690.360,1696.480,6.000,6.120,1.000,1.000,0.000,"",89.920,9.640,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_192.wav","308E4C04-4208-06A3-330A-DAF5EBE2502D",1706.120,1726.480,6.000,20.360,1.000,1.000,0.000,"",9.640,84.160,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_462.wav","308E4C04-4208-06A3-DA54-DAF5EBE2502D",1810.640,1816.840,6.000,6.200,1.000,1.000,0.000,"",84.160,57.000,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_894.wav","308E4C04-4208-06A3-DB6B-DAF5EBE2502D",1873.840,1882.360,6.000,8.520,1.000,1.000,0.000,"",57.000,59.080,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_83.wav","488A4C04-4208-06A3-8994-DAF5EBE2502D",1941.440,1959.440,6.000,18.000,1.000,1.000,0.000,"",59.080,62.760,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_856.wav","488A4C04-4208-06A3-0627-DAF5EBE2502D",2022.200,2030.400,6.000,8.200,1.000,1.000,0.000,"",62.760,63.080,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_575.wav","488A4C04-4208-06A3-A329-DAF5EBE2502D",2093.480,2107.320,6.000,13.840,1.000,1.000,0.000,"",63.080,57.280,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_70.wav","488A4C04-4208-06A3-4C96-DAF5EBE2502D",2164.600,2180.360,6.000,15.760,1.000,1.000,0.000,"",57.280,39.560,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_925.wav","488A4C04-4208-06A3-5FCE-DAF5EBE2502D",2219.920,2225.200,6.000,5.280,1.000,1.000,0.000,"",39.560,18.560,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_471.wav","308E4C04-4208-06A3-F122-DAF5EBE2502D",2243.760,2254.120,6.000,10.360,1.000,1.000,0.000,"",18.560,16.480,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_197.wav","488A4C04-4208-06A3-762E-DAF5EBE2502D",2270.600,2289.000,6.000,18.400,1.000,1.000,0.000,"",16.480,25.640,0.000,"Linear","Linear"
3,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503_embedded_661.wav","308E4C04-4208-06A3-AB9B-DAF5EBE2502D",2314.640,2323.760,6.000,9.120,1.000,1.000,0.000,"",25.640,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"_RACORD_GCP_NEW_59-30-00_embedded_206.mov","308E4C04-4208-06A3-573C-DAF5EBE2502D",0.000,30.000,0.000,30.000,1.000,1.000,0.000,"",0.000,1.360,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_794.wav","308E4C04-4208-06A3-F692-DAF5EBE2502D",31.360,46.760,6.000,15.400,1.000,1.000,0.000,"",1.360,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_301.wav","308E4C04-4208-06A3-C56B-DAF5EBE2502D",46.760,52.240,6.000,5.480,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_14.wav","308E4C04-4208-06A3-6FD0-DAF5EBE2502D",52.240,93.760,6.000,41.520,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_759.wav","308E4C04-4208-06A3-9FF4-DAF5EBE2502D",93.760,96.600,6.000,2.840,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_847.wav","308E4C04-4208-06A3-094B-DAF5EBE2502D",96.600,99.440,6.000,2.840,1.000,1.000,0.000,"",0.000,4.920,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_889.wav","308E4C04-4208-06A3-AC40-DAF5EBE2502D",104.360,113.400,6.000,9.040,1.000,1.000,0.000,"",4.920,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_394.wav","308E4C04-4208-06A3-1A99-DAF5EBE2502D",113.400,116.600,6.000,3.200,1.000,1.000,0.000,"",0.000,8.080,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_291.wav","488A4C04-4208-06A3-83FE-DAF5EBE2502D",124.680,127.840,6.000,3.160,1.000,1.000,0.000,"",8.080,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_575.wav","488A4C04-4208-06A3-03EA-DAF5EBE2502D",127.840,132.480,6.000,4.640,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_951.wav","308E4C04-4208-06A3-C103-DAF5EBE2502D",132.480,134.720,6.000,2.240,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_261.wav","488A4C04-4208-06A3-6944-DAF5EBE2502D",134.720,136.040,6.000,1.320,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_585.wav","308E4C04-4208-06A3-C91D-DAF5EBE2502D",136.040,140.320,6.000,4.280,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_812.wav","308E4C04-4208-06A3-20C3-DAF5EBE2502D",140.320,148.960,6.000,8.640,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_49.wav","308E4C04-4208-06A3-0003-DAF5EBE2502D",148.960,155.680,6.000,6.720,1.000,1.000,0.000,"",0.000,0.000,0.080,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_667.wav","488A4C04-4208-06A3-D79E-DAF5EBE2502D",155.760,161.280,6.000,5.520,1.000,1.000,0.000,"",0.000,6.520,0.080,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_710.wav","308E4C04-4208-06A3-E691-DAF5EBE2502D",167.800,171.960,6.000,4.160,1.000,1.000,0.000,"",6.520,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_181.wav","308E4C04-4208-06A3-979D-DAF5EBE2502D",171.960,175.760,6.000,3.800,1.000,1.000,0.000,"",0.000,0.080,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_614.wav","308E4C04-4208-06A3-FB1D-DAF5EBE2502D",175.920,194.000,6.000,18.080,1.000,1.000,0.000,"",0.000,0.000,0.080,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_330.wav","308E4C04-4208-06A3-9450-DAF5EBE2502D",194.000,210.840,6.000,16.840,1.000,1.000,0.000,"",0.000,7.200,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"06-LARA-250607_1503_embedded_931.wav","308E4C04-4208-06A3-213C-DAF5EBE2502D",218.040,220.880,6.000,2.840,1.000,1.000,0.000,"",7.200,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_239.wav","488A4C04-4208-06A3-9D36-DAF5EBE2502D",220.880,225.160,6.000,4.280,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_243.wav","488A4C04-4208-06A3-F97C-DAF5EBE2502D",225.160,226.800,6.000,1.640,1.000,1.000,0.000,"",0.000,0.000,0.080,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_664.wav","488A4C04-4208-06A3-FB5C-DAF5EBE2502D",226.880,229.360,6.000,2.480,1.000,1.000,0.000,"",0.000,0.000,0.080,"Linear","Linear"
4,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503_embedded_533.wav","308E4C04-4208-06A3-5AE9-DAF5EBE2502D",229.360,232.600,6.000,3.240,1.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
