TrackIndex,TrackName,TrackType,TrackVolume,TrackPan,TrackMute,TrackSolo,ClipFileName,ClipMobID,ClipTimelineStart,ClipTimelineEnd,ClipSourceStart,ClipLength,ClipGain,ClipVolume,ClipPan,ClipEffects,FadeInLength,FadeOutLength,CrossfadeLength,FadeInType,FadeOutType
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-28AC-DAF5EBE2502D",1143.480,1149.360,6.000,5.880,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","488A4C04-4208-06A3-E57C-DAF5EBE2502D",1199.240,1203.600,6.000,4.360,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-3B81-DAF5EBE2502D",1214.400,1231.640,6.000,17.240,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","488A4C04-4208-06A3-8372-DAF5EBE2502D",1310.480,1315.320,6.000,4.840,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-259A-DAF5EBE2502D",1332.160,1340.240,6.000,8.080,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-375C-DAF5EBE2502D",1398.560,1404.200,6.000,5.640,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-7DE8-DAF5EBE2502D",1467.880,1476.840,6.000,8.960,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","488A4C04-4208-06A3-8111-DAF5EBE2502D",1533.600,1542.440,6.000,8.840,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-C48F-DAF5EBE2502D",1578.600,1583.160,6.000,4.560,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-7859-DAF5EBE2502D",1589.080,1600.440,6.000,11.360,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-AED9-DAF5EBE2502D",1690.360,1696.480,6.000,6.120,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-330A-DAF5EBE2502D",1706.120,1726.480,6.000,20.360,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-DA54-DAF5EBE2502D",1810.640,1816.840,6.000,6.200,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-DB6B-DAF5EBE2502D",1873.840,1882.360,6.000,8.520,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","488A4C04-4208-06A3-8994-DAF5EBE2502D",1941.440,1959.440,6.000,18.000,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","488A4C04-4208-06A3-0627-DAF5EBE2502D",2022.200,2030.400,6.000,8.200,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","488A4C04-4208-06A3-A329-DAF5EBE2502D",2093.480,2107.320,6.000,13.840,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","488A4C04-4208-06A3-4C96-DAF5EBE2502D",2164.600,2180.360,6.000,15.760,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","488A4C04-4208-06A3-5FCE-DAF5EBE2502D",2219.920,2225.200,6.000,5.280,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-F122-DAF5EBE2502D",2243.760,2254.120,6.000,10.360,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","488A4C04-4208-06A3-762E-DAF5EBE2502D",2270.600,2289.000,6.000,18.400,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
2,"Audio 1","Audio",1.000,0.000,false,false,"36-PGM2_L-250607_1503.wav","308E4C04-4208-06A3-AB9B-DAF5EBE2502D",2314.640,2323.760,6.000,9.120,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"_RACORD_GCP_NEW_59-30-00.mov","308E4C04-4208-06A3-573C-DAF5EBE2502D",0.000,30.000,0.000,30.000,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-F692-DAF5EBE2502D",31.360,46.760,6.000,15.400,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-C56B-DAF5EBE2502D",46.760,52.240,6.000,5.480,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-6FD0-DAF5EBE2502D",52.240,93.760,6.000,41.520,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-9FF4-DAF5EBE2502D",93.760,96.600,6.000,2.840,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-094B-DAF5EBE2502D",96.600,99.440,6.000,2.840,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
3,"Audio 2","Audio",1.000,0.000,false,false,"34-PGM_L-250607_1503.wav","308E4C04-4208-06A3-AC40-DAF5EBE2502D",104.360,113.400,6.000,9.040,0.000,1.000,0.000,"",0.000,0.000,0.000,"Linear","Linear"
